Artist,Track,Album,Album_type,Views,Likes,Comments,Licensed,official_video,Stream,Views_state,comments_likes,stream_state
Oliver Heldens,Oops,Oops,single,101057.0,4346.0,189.0,True,True,676971.0,low,low and low,low
Oliver Heldens,LOW,LOW,single,545038.0,15044.0,519.0,True,True,7711175.0,low,low and low,low
Oliver Heldens,Deja Vu,Deja Vu,single,565645.0,7423.0,322.0,True,True,13700682.0,low,low and low,low
Tego Calderón,Pa' Que Retozen,El Abayarde,album,191290992.0,807693.0,16335.0,False,False,306204075.0,high,high and high,high
Tego Calderón,Al Natural (feat. Yandel),El Enemy de Los Guasíbiri,album,6897640.0,65200.0,764.0,False,False,79455916.0,low,low and low,medium
Tego Calderón,Punto y Aparte,Rompe La Discoteca,compilation,524879.0,1936.0,80.0,False,False,81320993.0,low,low and low,medium
Tego Calderón,Dominicana,El Abayarde,album,278635.0,980.0,56.0,False,False,43858243.0,low,low and low,medium
Tego Calderón,los Disicipulos,12 Discipulos,compilation,255867.0,2105.0,32.0,False,False,34067509.0,low,low and low,medium
Tego Calderón,Cuando Baila Reggaeton,The Underdog - El Subestimado,album,683713.0,4296.0,81.0,False,False,19010743.0,low,low and low,medium
Tego Calderón,Pegaito a la Pared (feat. Plan B) - Remix,"Pegaito a la Pared ""The Remixes""",single,21276788.0,78689.0,2098.0,False,False,24099152.0,high,low and low,medium
David Bisbal,"Y, ¿Si Fuera Ella? - + Es +",+ Es + (El Concierto / En Directo En El Estadio Vicente Calderón / 2017),album,8736249.0,37163.0,1156.0,True,True,179230151.0,low,low and low,high
David Bisbal,Dígale,Corazon Latino,album,106820580.0,314774.0,10988.0,False,False,194589768.0,high,high and high,high
David Bisbal,A Partir De Hoy,En Tus Planes,album,382932065.0,1447835.0,24775.0,True,True,235209182.0,high,high and high,high
David Bisbal,Mi Princesa,Sin Mirar Atrás,album,87940482.0,406247.0,8134.0,True,True,84171607.0,high,high and high,medium
David Bisbal,Si Tú La Quieres,En Tus Planes,album,120638769.0,728144.0,17123.0,True,True,129495145.0,high,high and high,medium
David Bisbal,Resistiré,Resistiré,single,73742646.0,694375.0,34648.0,True,True,42652491.0,high,high and high,medium
David Bisbal,A Contracorriente,A Contracorriente,single,18538286.0,136469.0,3632.0,True,True,30864351.0,high,high and high,medium
David Bisbal,Ave María,Corazon Latino,album,35313953.0,214161.0,10241.0,True,True,54207725.0,high,high and high,medium
David Bisbal,Diez Mil Maneras,Tú Y Yo,album,40048571.0,148387.0,3748.0,True,True,94466341.0,high,high and high,medium
David Bisbal,"Vuelve, Vuelve",20 Años Contigo,album,48152442.0,476349.0,26400.0,True,True,53094517.0,high,high and high,medium
Booba,Zénith (feat. Booba),Zénith (feat. Booba),single,757000.0,19703.0,776.0,True,True,1681543.0,low,low and low,low
Booba,Téléphone,Téléphone,single,2642863.0,46582.0,1933.0,False,False,13599840.0,low,low and low,low
Booba,Mona Lisa,ULTRA,album,82269563.0,384211.0,17491.0,False,False,74221307.0,high,high and high,medium
Booba,KOA,KOA,single,5486940.0,79777.0,5140.0,False,False,8198481.0,low,low and high,low
Booba,Caméléon,Arès,album,6419980.0,62675.0,3496.0,False,False,9999085.0,low,low and high,low
Booba,Scarface,Autopsie 0,album,44533542.0,172829.0,16993.0,False,False,36048454.0,high,high and high,medium
Booba,92i veyron,Nero nemesis,album,90075039.0,454202.0,26795.0,False,False,55556290.0,high,high and high,medium
Booba,Validée,Nero nemesis,album,59444117.0,219034.0,7756.0,False,False,62240663.0,high,high and high,medium
Booba,Petite fille,Trône,album,77810161.0,528113.0,24286.0,False,False,55217713.0,high,high and high,medium
Booba,Ridin',Trône,album,5897056.0,33621.0,309.0,True,True,33333568.0,low,low and low,medium
Gloria Trevi,No Querías Lastimarme,De Película,album,604892528.0,1505102.0,39885.0,True,True,141353319.0,high,high and high,high
Gloria Trevi,Con los Ojos Cerrados,Me Siento Tan Sola,album,56765505.0,172684.0,5988.0,False,False,117333020.0,high,high and high,medium
Gloria Trevi,Resistiré,Resistiré,single,15922784.0,260405.0,14941.0,True,True,48533462.0,high,high and high,medium
Gloria Trevi,Todos Me Miran,La Trayectoria,album,89616133.0,474042.0,14079.0,False,False,87823390.0,high,high and high,medium
Gloria Trevi,El Recuento de los Daños,Mas Turbada Que Nunca,album,16063964.0,54754.0,2260.0,False,False,82017541.0,high,low and low,medium
Gloria Trevi,Vestida De Azúcar,Gloria,album,238829463.0,484252.0,22609.0,True,True,60283856.0,high,high and high,medium
Gloria Trevi,El Favor De La Soledad,Una Rosa Blu,album,141463740.0,273530.0,7594.0,True,True,44411623.0,high,high and high,medium
